message,name,acreage,number_of_basement,description,district,province,address
"Tìm nhà ở trung tâm quận Hải Châu",Nhà phố Hải Châu,120,2,"Nhà ngay trung tâm, tiện lợi",Hải Châu,Đà Nẵng,"123 Đống Đa, Phường Hải Châu 1"
"Cần thuê nhà gần biển, thoáng mát",Biệt thự Sơn Trà,250,3,"Không gian thoáng đãng, view biển",Sơn Trà,Đà Nẵng,"456 Võ Nguyên Giáp, Phường Phước Mỹ"
"Muốn mua nhà diện tích nhỏ ở Đà Nẵng",Nhà giá rẻ Cẩm Lệ,70,1,"Nhà giá rẻ, tiện nghi",Cẩm Lệ,Đà Nẵng,"78 Nguyễn Hữu Thọ, Phường Hòa Thuận Tây"
"Tìm căn hộ ở quận Ngũ Hành Sơn, tiện ích đầy đủ",Căn hộ cao cấp Ngũ Hành Sơn,90,1,"Có hồ bơi, phòng gym",Ngũ Hành Sơn,Đà Nẵng,"101 Trần Đại Nghĩa, Phường Hòa Hải"
"Nhà rộng rãi cho gia đình lớn ở Thanh Khê",Biệt thự Thanh Khê,200,2,"Phù hợp gia đình đông người",Thanh Khê,Đà Nẵng,"202 Điện Biên Phủ, Phường Thanh Khê Đông"
"Cần căn nhà gần trường học ở Liên Chiểu",Nhà phố Liên Chiểu,150,2,"Gần trường học, không gian yên tĩnh",Liên Chiểu,Đà Nẵng,"303 Nguyễn Lương Bằng, Phường Hòa Khánh Bắc"
"Tìm nhà cho thuê ở quận Hải Châu giá rẻ",Nhà thuê Hải Châu,80,1,"Giá cả phải chăng, tiện lợi",Hải Châu,Đà Nẵng,"567 Nguyễn Chí Thanh, Phường Hải Châu 2"
"Muốn mua nhà gần chợ ở Sơn Trà",Nhà gần chợ Sơn Trà,75,1,"Thuận tiện đi lại",Sơn Trà,Đà Nẵng,"505 Lê Văn Duyệt, Phường Nại Hiên Đông"
"Cần căn hộ chung cư hiện đại ở Ngũ Hành Sơn",Chung cư Ngũ Hành Sơn,100,2,"Khu dân cư hiện đại",Ngũ Hành Sơn,Đà Nẵng,"606 Hồ Xuân Hương, Phường Mỹ An"
"Tìm nhà mặt tiền ở quận Hải Châu",Nhà mặt tiền Hải Châu,140,1,"Kinh doanh thuận tiện",Hải Châu,Đà Nẵng,"707 Phan Châu Trinh, Phường Phước Ninh"
"Tìm nhà mặt hẻm ở quận Liên Chiểu",Nhà mặt hẻm Liên Chiểu,85,1,"Khu dân cư an ninh",Liên Chiểu,Đà Nẵng,"808 Hoàng Văn Thái, Phường Hòa Minh"
"Tìm nhà rộng rãi ở quận Cẩm Lệ",Biệt thự Cẩm Lệ,180,2,"Không gian rộng rãi, phù hợp gia đình",Cẩm Lệ,Đà Nẵng,"10 Lê Đại Hành, Phường Khuê Trung"
"Cần thuê nhà gần cầu Rồng, quận Hải Châu",Nhà thuê gần cầu Rồng,90,1,"Gần cầu Rồng, thuận tiện đi lại",Hải Châu,Đà Nẵng,"25 Nguyễn Văn Linh, Phường Bình Thuận"
"Tìm biệt thự gần biển ở quận Ngũ Hành Sơn",Biệt thự biển Ngũ Hành Sơn,300,3,"Biệt thự cao cấp, sát biển",Ngũ Hành Sơn,Đà Nẵng,"56 Võ Nguyên Giáp, Phường Hòa Hải"
"Muốn mua nhà gần bến xe ở quận Liên Chiểu",Nhà gần bến xe Liên Chiểu,100,2,"Nhà gần bến xe, tiện ích đầy đủ",Liên Chiểu,Đà Nẵng,"99 Tôn Đức Thắng, Phường Hòa Khánh Nam"
"Tìm căn hộ mini ở trung tâm quận Hải Châu",Căn hộ mini Hải Châu,45,1,"Căn hộ nhỏ gọn, tiện lợi",Hải Châu,Đà Nẵng,"12 Hoàng Diệu, Phường Nam Dương"
"Cần nhà phố tiện nghi ở quận Thanh Khê",Nhà phố Thanh Khê,120,1,"Nhà phố đầy đủ tiện nghi",Thanh Khê,Đà Nẵng,"88 Trần Cao Vân, Phường Xuân Hà"
"Tìm nhà gần biển, khu Sơn Trà",Nhà gần biển Sơn Trà,95,2,"Nhà gần biển, không gian thoáng",Sơn Trà,Đà Nẵng,"18 Lê Quang Đạo, Phường An Hải Đông"
"Cần biệt thự yên tĩnh ở quận Hải Châu",Biệt thự yên tĩnh Hải Châu,250,2,"Biệt thự lớn, yên tĩnh",Hải Châu,Đà Nẵng,"45 Nguyễn Hữu Thọ, Phường Hòa Thuận Đông"
"Tìm nhà gần công viên Châu Á",Nhà phố gần công viên Châu Á,150,1,"Gần công viên, thích hợp gia đình",Hải Châu,Đà Nẵng,"30 2/9, Phường Hòa Cường Nam"
"Muốn tìm căn hộ cao cấp ở Thanh Khê",Căn hộ cao cấp Thanh Khê,85,1,"Căn hộ cao cấp, tiện nghi hiện đại",Thanh Khê,Đà Nẵng,"60 Nguyễn Văn Cừ, Phường Thanh Khê Tây"
"Tìm nhà cho thuê gần khu công nghiệp ở Hòa Vang",Nhà thuê Hòa Vang,80,1,"Gần khu công nghiệp, giá rẻ",Hòa Vang,Đà Nẵng,"78 Hòa Sơn, Phường Hòa Sơn"
"Cần biệt thự ven sông Hàn",Biệt thự ven sông Hàn,350,2,"Biệt thự ven sông, view đẹp",Hải Châu,Đà Nẵng,"90 Bạch Đằng, Phường Thạch Thang"
"Muốn thuê căn hộ giá rẻ ở Liên Chiểu",Căn hộ giá rẻ Liên Chiểu,50,1,"Căn hộ nhỏ, giá phải chăng",Liên Chiểu,Đà Nẵng,"20 Nguyễn Tất Thành, Phường Hòa Hiệp Bắc"
"Tìm nhà nghỉ dưỡng gần đồi thông",Nhà nghỉ dưỡng Hòa Vang,200,2,"Không gian yên bình, gần thiên nhiên",Hòa Vang,Đà Nẵng,"5 Đường Hồ Quý Ly, Phường Hòa Ninh"
"Cần căn hộ mới xây gần biển Mỹ Khê",Căn hộ biển Mỹ Khê,70,1,"Căn hộ mới xây, hiện đại",Sơn Trà,Đà Nẵng,"34 Hà Bổng, Phường Phước Mỹ"
"Tìm nhà phố gần bãi biển",Nhà phố gần biển Ngũ Hành Sơn,130,1,"Nhà gần biển, khu vực yên tĩnh",Ngũ Hành Sơn,Đà Nẵng,"8 Nguyễn Đình Chiểu, Phường Khuê Mỹ"
"Bạn là ai?",AI quản lý BĐS,0,0,"Tôi là AI của trang web quản lý bất động sản",NA,NA,NA
"Bạn có thể làm gì?",AI quản lý BĐS,0,0,"Tôi giúp bạn tìm kiếm và quản lý thông tin bất động sản",NA,NA,NA
"Trang web này là gì?",AI quản lý BĐS,0,0,"Trang web quản lý thông tin bất động sản",NA,NA,NA